DisplayCountry,CurrencyCode,DisplayCountry_CurrencyCode,DisplayCurrencySymbol,SymbolPosition,Country,CurrencySymbol
Afghanistan,AFN,Afghanistan (AFN),؋,0,Afghanistan,؋
Albania,ALL,Albania (ALL),Lek,1,Albania,Lek
Algeria,DZD,Algeria (DZD),د.ج,0,Algeria,د.ج
American Samoa,USD,American Samoa (USD),$,0,American Samoa,$
Andorra,EUR,Andorra (EUR),€,1,Andorra,€
Angola,AOA,Angola (AOA),Kz,0,Angola,Kz
Anguilla,XCD,Anguilla (XCD),$,0,Anguilla,$
Antigua & Barbuda,XCD,Antigua & Barbuda (XCD),$,0,Antigua and Barbuda,$
Argentina,ARS,Argentina (ARS),$,0,Argentina,$
Armenia,AMD,Armenia (AMD),Դ,1,Armenia,Դ
Aruba,AWG,Aruba (AWG),ƒ,0,Aruba,ƒ
Australia,AUD,Australia (AUD),$,0,Australia,$
Austria,EUR,Austria (EUR),€,1,Austria,€
Azerbaijan,AZN,Azerbaijan (AZN),₼,1,Azerbaijan,₼
Bahamas,BSD,Bahamas (BSD),$,0,Bahamas,$
Bahrain,BHD,Bahrain (BHD),ب.د,0,Bahrain,ب.د
Bangladesh,BDT,Bangladesh (BDT),৳,0,Bangladesh,৳
Barbados,BBD,Barbados (BBD),$,0,Barbados,$
Belarus,BYN,Belarus (BYN),p.,1,Belarus,p.
Belgium,EUR,Belgium (EUR),€,1,Belgium,€
Belize,BZD,Belize (BZD),$,0,Belize,$
Benin,XOF,Benin (XOF),Fr,1,Benin,Franc
Bermuda,BMD,Bermuda (BMD),$,0,Bermuda,$
Bhutan,BTN,Bhutan (BTN),Nu.,0,Bhutan,Nu.
Bolivia,BOB,Bolivia (BOB),Bs.,0,Bolivia,Bs.
Bolivia,BOV,Bolivia (BOV),BOV,1,Bolivia,Mvdol
Bonaire,BES,Bonaire (BES),$,0,Bonaire,$
Bosnia & Herz.,BAM,Bosnia & Herz. (BAM),КМ,1,Bosnia and Herzegovina,КМ
Botswana,BWP,Botswana (BWP),P,0,Botswana,P
Bouvet Island,NOK,Bouvet Island (NOK),kr,1,Bouvet Island,kr
Brazil,BRL,Brazil (BRL),R$,0,Brazil,R$
British Indian Ocean T.,USD,British Indian Ocean T. (USD),$,0,British Indian Ocean Territory,$
Brunei Darussalam,BND,Brunei Darussalam (BND),$,0,Brunei Darussalam,$
Bulgaria,BGN,Bulgaria (BGN),лв,1,Bulgaria,лв
Burkina Faso,XOF,Burkina Faso (XOF),Fr,1,Burkina Faso,Franc
Burundi,BIF,Burundi (BIF),₣,1,Burundi,₣
Cape Verde,CVE,Cape Verde (CVE),$,0,Cape Verde,$
Cambodia,KHR,Cambodia (KHR),៛,0,Cambodia,៛
Cameroon,XAF,Cameroon (XAF),Fr,1,Cameroon,CFA Franc BEAC
Canada,CAD,Canada (CAD),$,0,Canada,$
Cayman Islands,KYD,Cayman Islands (KYD),$,0,Cayman Islands,$
Central African Rep.,XAF,Central African Rep. (XAF),₣,1,Central African Republic,₣
Chad,XAF,Chad (XAF),Fr,1,Chad,CFA Franc BEAC
Chile,CLP,Chile (CLP),$,0,Chile,$
China,CNY,China (CNY),¥,0,China,¥
Christmas Island,AUD,Christmas Island (AUD),$,0,Christmas Island,$
Cocos Islands,AUD,Cocos Islands (AUD),$,0,Cocos (Keeling) Islands,$
Colombia,COP,Colombia (COP),$,0,Colombia,$
Comoros,KMF,Comoros (KMF),FC,1,Comoros,FC
DR Congo,CDF,DR Congo (CDF),₣,1,Democratic Republic of the Congo,₣
Cook Islands,NZD,Cook Islands (NZD),$,0,Cook Islands,$
Costa Rica,CRC,Costa Rica (CRC),₡,0,Costa Rica,₡
Croatia,HRK,Croatia (HRK),Kn,1,Croatia,Kn
Cuba,CUP,Cuba (CUP),₱,0,Cuba,₱
Curaçao,ANG,Curaçao (ANG),ƒ,0,Curaçao,ƒ
Cyprus,EUR,Cyprus (EUR),€,1,Cyprus,€
Czech Republic,CZK,Czech Republic (CZK),Kč,1,Czech Republic,Kč
Ivory Coast,XOF,Ivory Coast (XOF),Fr,1,Ivory Coast,Franc
Denmark,DKK,Denmark (DKK),kr.,1,Denmark,kr.
Djibouti,DJF,Djibouti (DJF),₣,1,Djibouti,₣
Dominica,XCD,Dominica (XCD),$,0,Dominica,$
Dominican Republic,DOP,Dominican Republic (DOP),$,0,Dominican Republic,$
Ecuador,USD,Ecuador (USD),$,0,Ecuador,$
Egypt,EGP,Egypt (EGP),£,0,Egypt,£
El Salvador,USD,El Salvador (USD),$,0,El Salvador,$
Equatorial Guinea,XAF,Equatorial Guinea (XAF),Fr,1,Equatorial Guinea,FCFA
Eritrea,ERN,Eritrea (ERN),Nfk,0,Eritrea,Nfk
Estonia,EUR,Estonia (EUR),€,1,Estonia,€
Ethiopia,ETB,Ethiopia (ETB),Br,0,Ethiopia,Br
